GEOID.x,County,Cox,Moore,Lashar,Wallace,Harding,Sefcik,Write-ins.x,GEOID.y,Hogan,Jealous,Quinn,Schlakman,Write-ins.y,total_2022,total_2018,cox_pct,hogan_pct
24001,Allegany,13833,6390,279,143,267,0,17,24001,19224,3985,166,139,16,20929,23530,0.6609489225476611,0.8169995750106247
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,24003,157202,69399,1366,1052,187,168548,229206,0.4377091392363006,0.6858546460389344
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,24510,58360,123609,1055,1491,176,128573,184691,0.08856447310088432,0.3159872435581593
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,24005,198122,122773,1633,1492,256,225973,324276,0.35738340421200765,0.6109672007795828
24009,Calvert,18447,14236,504,142,242,0,89,24009,29610,9216,303,130,25,33660,39284,0.5480392156862746,0.7537419814682823
24011,Caroline,6727,3276,176,56,140,0,21,24011,9489,1900,82,28,6,10396,11505,0.6470757983839939,0.8247718383311604
24013,Carroll,38969,25155,1515,436,561,0,301,24013,62445,11767,533,261,45,66937,75051,0.5821742832812944,0.8320342167326218
24015,Cecil,18159,8691,472,155,311,21,35,24015,27063,7354,353,154,15,27844,34939,0.6521692285591151,0.7745785511892155
24017,Charles,15096,33633,408,283,414,0,78,24017,31756,32100,274,193,37,49912,64360,0.3024523160762943,0.49341205717837167
24019,Dorchester,6169,4341,139,69,157,0,19,24019,9205,3043,72,39,8,10894,12367,0.5662750137690472,0.7443195601196734
24021,Frederick,44307,51423,1700,555,722,0,306,24021,72560,33355,746,499,59,99013,107219,0.44748669366648824,0.6767457260373628
24023,Garrett,8195,2402,194,52,138,0,15,24023,9472,1395,86,48,7,10996,11008,0.7452710076391416,0.8604651162790697
24025,Harford,51930,40837,2033,618,914,0,301,24025,85259,24012,756,461,91,96633,110579,0.5373940579305206,0.7710234312120746
24027,Howard,33110,83690,2464,802,713,0,419,24027,80574,61146,800,752,111,121198,143383,0.2731893265565438,0.5619494640229316
24029,Kent,3718,4256,106,56,93,0,10,24029,6370,2222,43,57,2,8239,8694,0.4512683578104139,0.7326892109500805
24031,Montgomery,58701,227161,3443,2444,1677,0,768,24031,180018,224029,1922,2110,349,294194,408428,0.19953160159622563,0.44075822421577365
24033,Prince George's,17937,179968,1081,1693,1984,0,314,24033,89925,225889,1469,1423,279,202977,318985,0.08836961823260764,0.2819098076712071
24035,Queen Anne's,12840,8577,416,120,212,0,89,24035,19503,3268,99,86,15,22254,22971,0.5769749258560258,0.8490270340864569
24037,Saint Mary's,20670,14365,720,263,361,0,86,NA,NA,NA,NA,NA,NA,36465,NA,0.5668449197860963,NA
24039,Somerset,3974,2254,67,46,81,0,6,24039,5203,2379,71,33,16,6428,7702,0.6182327317983821,0.6755388210854324
24041,Talbot,7497,7989,289,70,128,0,44,24041,14081,3957,79,66,7,16017,18190,0.46806518074545794,0.774106652006597
24043,Washington,27571,17006,646,257,483,0,75,24043,38765,10894,491,268,43,46038,50461,0.5988748425213953,0.7682170389013298
24045,Wicomico,14612,12213,388,171,358,0,46,24045,22659,10426,284,141,24,27788,33534,0.5258384914351518,0.6757022723206298
24047,Worcester,13433,8550,273,121,161,0,31,24047,18076,5437,148,82,12,22569,23755,0.5951969515707386,0.7609345400968217
