"","Fips_Code","County","Cox","Moore","Lashar","Wallace","Harding","Write-ins","total_votes","pct_moore"
"1",24001,"Allegany",13833,6390,279,143,267,0,20912,30.5566182096404
"2",24003,"Anne Arundel",72806,83643,3446,948,1247,0,162090,51.6028132518971
"3",24510,"Baltimore City",11140,107563,1237,1180,1391,0,122511,87.7986466521374
"4",24005,"Baltimore County",76242,117356,3636,1482,2200,0,200916,58.4104800015927
"5",24009,"Calvert",18447,14236,504,142,242,0,33571,42.4056477316732
"6",24011,"Caroline",6727,3276,176,56,140,0,10375,31.5759036144578
"7",24013,"Carroll",38969,25155,1515,436,561,0,66636,37.7498649378714
"8",24015,"Cecil",18159,8691,472,155,311,0,27788,31.2760903987333
"9",24017,"Charles",15096,33633,408,283,414,0,49834,67.4900670225148
"10",24019,"Dorchester",6169,4341,139,69,157,0,10875,39.9172413793103
"11",24021,"Frederick",40178,38581,1456,468,606,0,81289,47.461526159751
"12",24023,"Garrett",8195,2402,194,52,138,0,10981,21.8741462526182
"13",24025,"Harford",51065,38139,1948,598,886,0,92636,41.1708191199965
"14",24027,"Howard",33110,83690,2464,802,713,0,120779,69.2918470926237
"15",24029,"Kent",3718,4256,106,56,93,0,8229,51.7195284967797
"16",24031,"Montgomery",54968,191695,3013,2146,1551,0,253373,75.6572326175244
"17",24033,"Prince George's",16903,161692,999,1593,1888,0,183075,88.320087395876
"18",24035,"Queen Anne's",12840,8577,416,120,212,0,22165,38.6961425671103
"19",24037,"Saint Mary's",20279,13291,661,253,346,0,34830,38.1596325007178
"20",24039,"Somerset",3974,2254,67,46,81,0,6422,35.0981002802865
"21",24041,"Talbot",7497,7989,289,70,128,0,15973,50.0156514117573
"22",24043,"Washington",26943,15723,614,252,472,0,44004,35.7308426506681
"23",24045,"Wicomico",14612,12213,388,171,358,0,27742,44.023502270925
"24",24047,"Worcester",13433,8550,273,121,161,0,22538,37.9359304286095
